site,lat ,lon
Montague Harbour,48.8995,-123.4044
Retreat Cove,48.94176,-123.50796
Dionisio Point,49.0062,-123.5745
Whaler Bay ,48.8837,-123.3365
Bellhouse Park ,48.8721,-123.3123
Sturdies Bay,48.8758,-123.3143
