"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Macoma nasuta","(Conrad, 1857)","","bent-nose macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","nasuta",,"",,"native","unlisted",,"2009-11-14","Andy Lamb","PMLS","",,"2023-02-08","","iNaturalist","",,4,"confirmed","observed","",117612,"MOL"
"Macoma obliqua","(J. Sowerby, 1817)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","obliqua",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-002",,"1959-12-11","Dan Quayle","RBCM","989-00278-002",,1,"reported","unobserved","",861605,"MOL"
"Magallana gigas","(Thunberg, 1793)","","Pacific oyster","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Ostreida","","Ostreoidea","Ostreidae","Crassostreinae","","Magallana","gigas",,"",,"non-native","unlisted",,"2016-08-17","","iNaturalist","",,"2023-06-27","","iNaturalist","",,67,"new 2016","observed","",605992,"MOL"
"Margarites pupillus","(Gould, 1849)","","puppet margarite","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Margaritidae","","","Margarites","pupillus",,"",,"native","unlisted",,"2009-02-08","Andy Lamb","PMLS","",,"2023-05-22","","iNaturalist","",,7,"confirmed","observed","",129922,"MOL"
"Marsenina rhombica","(Dall, 1871)","","marbled lamellarid","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Velutinoidea","Velutinidae","Velutininae","","Marsenina","rhombica",,"",,"native","unlisted",,"2016-02-07","Andy Lamb","PMLS","",,"2016-02-07","Andy Lamb","PMLS","",,1,"new 2016","unobserved","",337741,"MOL"
"Marsenina stearnsii","(Dall, 1871)","","stearn's ear shell","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Velutinoidea","Velutinidae","Velutininae","","Marsenina","stearnsii",,"",,"native","unlisted",,"2016-04-07","","iNaturalist","",,"2016-04-07","","iNaturalist","",,1,"new 2016","observed","",53555,"MOL"
"Mediaster aequalis","Stimpson, 1857","","vermilion star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Goniasteridae","Mediasterinae","","Mediaster","aequalis",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2023-07-09","","iNaturalist","",,161,"confirmed","observed","",293174,"ECH"
"Megalorchestia pugettensis","Dana, 1852","","Puget Sound beach flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Talitroidea","Talitridae","Talitrinae","","Megalorchestia","pugettensis",,"",,"native","unlisted",,"2018-08-01","","iNaturalist","",,"2022-06-24","","iNaturalist","",,3,"new 2018","observed","",345335,"ART"
"Megaptera novaeangliae","(Borowski, 1781)","","humpback whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Megaptera","novaeangliae",,"",,"native","S3 (2006)",,"2004-05-28","","BCCSN","8765",,"2023-09-24","","iNaturalist","",,105,"confirmed","observed","",41566,"MAM"
"Megayoldia thraciaeformis","(Storer, 1838)","","broad yoldia","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","","Megayoldia","thraciaeformis",,"",,"native","unlisted",,"1942-06-01","Dan Quayle","RBCM","991-00500-001",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03312",,3,"reported","unobserved","",957355,"MOL"
"Melanella micans","(Carpenter, 1865)","","shining balcis","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Vanikoroidea","Eulimidae","","","Melanella","micans",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03323-001",,"2006-06-30","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",733259,"MOL"
"Melanochlamys diomedea","(Bergh, 1894)","","Diomedes aglajid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","","Melanochlamys","diomedea",,"",,"native","unlisted",,"1975-06-17","Philip Lambert","RBCM","975-00224-004",,"2018-05-29","","iNaturalist","",,3,"confirmed","observed","reported as (syn) Aglaja diomedea",345334,"MOL"
"Melibe leonina","(Gould, 1852)","","hooded nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Tethydidae","","","Melibe","leonina",,"",,"native","unlisted",,"1994-10-07","Andy Lamb","PMLS","",,"2023-04-29","","iNaturalist","",,15,"confirmed","observed","",48455,"MOL"
"Melicertum octocostatum","(M. Sars, 1835)","","eight-strand jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Melicertidae","","","Melicertum","octocostatum",,"",,"native","unlisted",,"2009-04-13","Andy Lamb","PMLS","",,"2013-05-17","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",550154,"CNI"
"Membranipora villosa","Hincks, 1880","","kelp-encrusting bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Membraniporina","Membraniporoidea","Membraniporidae","","","Membranipora","villosa",,"",,"native","unlisted",,"1993-08-16","Andy Lamb","PMLS","",,"2023-06-17","","iNaturalist","",,47,"confirmed","observed","reported as Membranipora serrilamella (synonymous)",360867,"LOP"
"Mesocentrotus franciscanus","(A. Agassiz, 1863)","","red sea urchin","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","","Camarodonta","","Odontophora","Strongylocentrotidae","","","Mesocentrotus","franciscanus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-09-10","","iNaturalist","",,254,"confirmed","observed","",992313,"ECH"
"Metacaprella kennerlyi","(Stimpson, 1864)","","skeleton shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Caprellidae","Caprellinae","","Metacaprella","kennerlyi",,"",,"","",,"2023-06-04","","iNaturalist","",,"2023-06-19","","iNaturalist","",,4,"new 2023","observed","",117676,"ART"
"Metacarcinus gracilis","(Dana, 1852)","","graceful crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Metacarcinus","gracilis",,"",,"native","unlisted",,"1973-06-14","Philip Lambert","RBCM","973-00137-019",,"2023-06-18","","iNaturalist","",,24,"confirmed","observed","",116721,"ART"
"Metacarcinus magister","(Dana, 1852)","","dungeness crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Metacarcinus","magister",,"",,"native","unlisted",,"1996-05-29","Charlie Gibbs","PMLS","",,"2023-08-25","","iNaturalist","",,26,"confirmed","observed","",63697,"ART"
"Metacrangon munita","(Dana, 1852)","","coastal spinyhead","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Crangonoidea","Crangonidae","","","Metacrangon","munita",,"",,"native","unlisted",,"1928-07-18","","RBCM","015-00224-001",,"1963-06-17","Dan Quayle","RBCM","015-00100-001",,2,"reported","unobserved","",459610,"ART"
"Metandrocarpa taylori","Huntsman, 1912","","orange social tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Styelidae","","","Metandrocarpa","taylori",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,78,"confirmed","observed","",371195,"TUN"
"Metridium farcimen","(Brandt, 1835)","","giant plumose anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Metridioidea","Metridiidae","","","Metridium","farcimen",,"",,"native","unlisted",,"1973-09-21","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,226,"confirmed","observed","",51812,"CNI"
"Metridium senile","(Linnaeus, 1761)","","short plumose anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Metridioidea","Metridiidae","","","Metridium","senile",,"",,"native","unlisted",,"1968-08-02","Andy Lamb","PMLS","",,"2023-08-26","","iNaturalist","",,56,"confirmed","observed","",49071,"CNI"
"Micrura verrilli","Coe, 1901","","purple ribbon worm","Animalia","Nemertea","","","Pilidiophora","","","Heteronemertea","","","Lineidae","","","Micrura","verrilli",,"",,"native","unlisted",,"2006-09-28","Andy Lamb","PMLS","",,"2006-09-28","Andy Lamb","PMLS","",,1,"reported","unobserved","",117598,"WOR"
"Mitrella gausapata","(Gould, 1850)","","sea snail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Mitrella","gausapata",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03328",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03328",,1,"reported","unobserved","",347322,"MOL"
"Mitrocoma cellularia","(Agassiz, 1862)","","cross jellyfish","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Mitrocomidae","","","Mitrocoma","cellularia",,"",,"native","unlisted",,"1928-07-19","Fisheries Research Board of Canada, Nanaimo","CMN","CMNI 2012-0102",,"2023-06-17","","iNaturalist","",,27,"confirmed","observed","",493918,"CNI"
"Mitrocomella polydiademata","(Romanes, 1876)","","","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Mitrocomidae","","","Mitrocomella","polydiademata",,"",,"","",,"2021-04-18","","iNaturalist","",,"2021-04-18","","iNaturalist","",,1,"new 2021","observed","",531848,"CNI"
"Modiolus modiolus","(Linnaeus, 1758)","","northern horsemussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","","Modiolus","modiolus",,"",,"native","unlisted",,"2005-12-10","Andy Lamb","PMLS","",,"2005-12-10","Andy Lamb","PMLS","",,1,"reported","unobserved","",123772,"MOL"
"Modiolus rectus","(Conrad, 1837)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","","Modiolus","rectus",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-015",,"1959-12-11","Dan Quayle","RBCM","989-00278-015",,1,"reported","unobserved","",196218,"MOL"
"Molgula pacifica","(Huntsman, 1912)","","globular ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Molgulidae","","","Molgula","pacifica",,"",,"native","unlisted",,"1993-08-16","Andy Lamb","PMLS","",,"2010-07-17","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",800031,"TUN"
"Mopalia ciliata","(G. B. Sowerby II, 1840)","","northern hairy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","ciliata",,"",,"native","unlisted",,"1999-07-31","Charlie Gibbs","PMLS","",,"2023-06-04","","iNaturalist","",,9,"confirmed","observed","Formerly reported as Mopalia kennerelyi",117634,"MOL"
"Mopalia hindsii","(Reeve, 1847)","","Hind's mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","hindsii",,"",,"native","unlisted",,"1999-07-31","Charlie Gibbs","PMLS","",,"2023-06-04","","iNaturalist","",,38,"confirmed","observed","",51725,"MOL"
"Mopalia lignosa","(Gould, 1846)","","woody chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","lignosa",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-070",,"2023-06-14","","iNaturalist","",,30,"confirmed","observed","",51724,"MOL"
"Mopalia muscosa","(Gould, 1846)","","mossy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","muscosa",,"",,"native","unlisted",,"2008-10-10","Andy Lamb","PMLS","",,"2023-07-30","","iNaturalist","",,32,"confirmed","observed","",117633,"MOL"
"Mopalia phorminx","Berry, 1919","","feathery mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","phorminx",,"",,"native","unlisted",,"2019-03-17","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,1,"new 2019","unobserved","",977159,"MOL"
"Mopalia sinuata","Carpenter, 1864","","dwarf hairy mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","sinuata",,"",,"native","unlisted",,"2019-03-17","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,1,"new 2019","unobserved","",429863,"MOL"
"Mopalia spectabilis","I.M. Cowan & G.M. Cowan, 1977","","red-flecked mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","spectabilis",,"",,"native","unlisted",,"1999-05-04","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,17,"confirmed","observed","",364026,"MOL"
"Mopalia swanii","Carpenter, 1864","","Swan's mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","swanii",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-071",,"2022-11-26","","iNaturalist","",,20,"confirmed","observed","",339904,"MOL"
"Mopalia vespertina","(Gould, 1852)","","smooth mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","vespertina",,"",,"native","unlisted",,"1973-04-20","Ian McTaggart-Cowan","RBCM","988-00095-001",,"2023-09-10","","iNaturalist","",,36,"confirmed","observed","",364027,"MOL"
"Muggiaea sp.","","","dwarf tailed jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Siphonophorae","Calycophorae","","Diphyidae","Diphyinae","","Muggiaea","",,"",,"","",,"2009-04-11","Andy Lamb","PMLS","",,"2009-07-04","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",201710,"CNI"
"Musculus discors","(Linnaeus, 1767)","","discord mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Musculinae","","Musculus","discors",,"",,"native","unlisted",,"1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346",,"1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346",,1,"reported","unobserved","",482998,"MOL"
"Musculus niger","(J.E. Gray, 1824)","","black mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Musculinae","","Musculus","niger",,"",,"native","unlisted",,"1958-09-05","Ian McTaggart-Cowan","RBCM","979-00347",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03317-001",,3,"reported","unobserved","",483000,"MOL"
"Mya arenaria","Linnaeus, 1758","","soft-shelled clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","","Mya","arenaria",,"",,"non-native","unlisted",,"2016-08-17","","iNaturalist","",,"2019-05-05","","iNaturalist","",,3,"new 2016","observed","",81634,"MOL"
"Mya truncata","Linnaeus, 1758","","truncated softshell-clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","","Mya","truncata",,"",,"native","unlisted",,"2008-04-27","Andy Lamb","PMLS","",,"2016-07-24","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",447416,"MOL"
"Mycale (Aegogropila) adhaerens","(Lambe, 1893)","","smooth scallop sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Mycalidae","","","Mycale","adhaerens",,"",,"native","unlisted",,"1999-07-31","Charlie Gibbs","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,62,"reported","unobserved","",256010,"POR"
"Myosotella myosotis","(Draparnaud, 1801)","","mouse-eared snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Eupulmonata","Ellobiida","","Ellobioidea","Ellobiidae","Pythiinae","","Myosotella","myosotis",,"",,"non-native","unlisted",,"2016-09-01","","iNaturalist","",,"2022-06-26","","iNaturalist","",,2,"new 2016","observed","",225386,"MOL"
"Myoxocephalus polyacanthocephalus","(Pallas, 1814)","","great sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Myoxocephalinae","","Myoxocephalus","polyacanthocephalus",,"",,"native","SNR",,"1982-06-08","Genereux, K.D.","CMN","CMNFI 1985-0087.4",,"2021-07-23","","iNaturalist","",,4,"confirmed","observed","",47640,"FIS"
"Mytilimeria nuttalli","Conrad, 1837","","bladderclam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","","Mytilimeria","nuttalli",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,43,"confirmed","unobserved","",873896,"MOL"
"Mytilus edulis complex","","","blue mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Mytilinae","","Mytilus","edulis",,"",,"native","unlisted",,"1968-08-02","Andy Lamb","PMLS","",,"2023-06-17","","iNaturalist","",,79,"confirmed","observed","",117650,"MOL"
