"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Acanthodoris atrogriseata","O'Donoghue, 1927","","gray pilose dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","atrogriseata",,"",,"native","unlisted",,"2008-06-15","Andy Lamb","PMLS","",,"2009-03-20","Andy Lamb","PMLS","",,2,"confirmed","unobserved","reported as Acanthodoris pilosa (Abildgaard in Müller, 1789)",1080211,"MOL"
"Acanthodoris hudsoni","MacFarland, 1905","","Hudson's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","hudsoni",,"",,"native","unlisted",,"1994-10-23","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,52,"confirmed","observed","",48447,"MOL"
"Acanthodoris lutea","MacFarland, 1925","","sandalwood dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","lutea",,"",,"native","unlisted",,"2009-11-14","","iNaturalist","",,"2009-11-14","","iNaturalist","",,1,"reported","observed","",47472,"MOL"
"Acanthodoris nanaimoensis","O'Donoghue, 1921","","Nanaimo nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","nanaimoensis",,"",,"native","unlisted",,"1994-10-07","Andy Lamb","PMLS","",,"2023-10-08","","iNaturalist","",,68,"confirmed","observed","",47476,"MOL"
"Acantholithodes hispidus","(Stimpson, 1860)","","hairy-spined crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","","","Acantholithodes","hispidus",,"",,"native","unlisted",,"1994-09-10","Andy Lamb","PMLS","",,"2022-05-06","","iNaturalist","",,33,"confirmed","observed","",450310,"ART"
"Acarnus erithacus","Laubenfels, 1927","","thick encrusting scarlet sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","","","Acarnus","erithacus",,"",,"native","unlisted",,"2008-08-29","Andy Lamb","PMLS","",,"2015-01-01","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",63669,"POR"
"Acila castrensis","(Hinds, 1843)","","nutclam or nutshell","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculida","","Nuculoidea","Nuculidae","","","Acila","castrensis",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-001",,"1961-05-13","Dan Quayle","RBCM","982-00207-002",,2,"reported","unobserved","",339158,"MOL"
"Acipenser transmontanus","Richardson, 1836","","white sturgeon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Acipenseriformes","","","Acipenseridae","","","Acipenser","transmontanus",,"",,"native","S2 (2018)","1-E","2023-06-24","","iNaturalist","",,"2023-06-24","","iNaturalist","",,1,"new 2023","observed","",93194,"FIS"
"Acmaea mitra","Rathke, 1833","","whitecap limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Acmaeidae","","","Acmaea","mitra",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2022-06-14","","iNaturalist","",,59,"confirmed","observed","",47676,"MOL"
"Acteocina culcitella","(Gould, 1853)","","pillow barrel-bubble","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Bulloidea","Tornatinidae","","","Acteocina","culcitella",,"",,"native","unlisted",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03320",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03320",,1,"reported","unobserved","",49788,"MOL"
"Adalaria proxima","(Alder & Hancock, 1854)","","white adalaria","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Adalaria","proxima",,"",,"native","unlisted",,"2009-11-15","","iNaturalist","",,"2009-11-15","","iNaturalist","",,1,"reported","observed","",508396,"MOL"
"Aegires albopunctatus","MacFarland, 1905","","salt-and-pepper nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Aegiridae","","","Aegires","albopunctatus",,"",,"native","unlisted",,"1996-05-29","Charlie Gibbs","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,6,"confirmed","observed","",48981,"MOL"
"Aeolidia loui","Kienberger, Carmona, Pola, Padula, Gosliner & Cervera, 2016","","shag-rug nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Aeolidioidea","Aeolidiidae","","","Aeolidia","loui",,"",,"native","unlisted",,"2016-04-01","","iNaturalist","",,"2022-11-18","","iNaturalist","",,5,"new 2016","observed","",498117,"MOL"
"Aeolidia papillosa","(Linnaeus, 1761)","","papillate sea slug","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Aeolidioidea","Aeolidiidae","","","Aeolidia","papillosa",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2022-06-05","","iNaturalist","",,10,"confirmed","observed","",498116,"MOL"
"Aequorea victoria s.lat.","","","water jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Aequoreidae","","","Aequorea","victoria",,"",,"native","unlisted",,"2017-05-26","","iNaturalist","",,"2023-08-06","","iNaturalist","",,37,"new 2017","observed","",325995,"CNI"
"Aglaja ocelligera","(Bergh, 1894)","","spotted aglaja","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","","Aglaja","ocelligera",,"",,"native","unlisted",,"1996-05-29","Charlie Gibbs","PMLS","",,"2023-05-27","","iNaturalist","",,12,"confirmed","observed","",49842,"MOL"
"Aglantha digitale","(O. F. Müller, 1776)","","pink helmit","Animalia","Cnidaria","","","Hydrozoa","Trachylinae","","Trachymedusae","","","Rhopalonematidae","","","Aglantha","digitale",,"",,"native","unlisted",,"1861-01-01","Alexander Agassiz","Agassiz (1861)","AGASSIZGI:2",,"1861-01-01","Alexander Agassiz","Agassiz (1861)","AGASSIZGI:2",,1,"reported","unobserved","",256085,"CNI"
"Aglaophenia sp.","","","ostrich-plume hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Plumularioidea","Aglaopheniidae","","","Aglaophenia","",,"",,"","",,"1971-08-21","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,29,"confirmed","unobserved","",51218,"CNI"
"Agonopsis vulsa","(Jordan & Gilbert, 1880)","","northern spearnose poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Agonidae","Agoninae","","Agonopsis","vulsa",,"",,"native","SNR",,"1995-02-25","Charlie Gibbs","PMLS","",,"2008-05-22","","iNaturalist","",,4,"confirmed","observed","",180027,"FIS"
"Alcyonidium pedunculatum","Robertson, 1902","","smooth leather bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Ctenostomatida","Alcyonidiina","Alcyonidioidea","Alcyonidiidae","","","Alcyonidium","pedunculatum",,"",,"native","unlisted",,"1994-02-26","Charlie Gibbs","PMLS","",,"1994-02-26","Charlie Gibbs","PMLS","",,2,"reported","unobserved","",873864,"LOP"
"Alcyonium sp.","","","orange soft coral","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Malacalcyonacea","","","Alcyoniidae","","","Alcyonium","",,"",,"","",,"1985-12-07","Andy Lamb","PMLS","",,"2023-09-04","","iNaturalist","",,106,"confirmed","observed","",338004,"CNI"
"Aldisa albomarginata","Millen in Millen & Gosliner, 1985","","white-rimmed nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","albomarginata",,"",,"native","unlisted",,"2009-03-19","Andy Lamb","PMLS","",,"2009-03-19","Andy Lamb","PMLS","",,1,"reported","unobserved","",50094,"MOL"
"Aldisa cooperi","Robilliard & Baba, 1972","","Cooper's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","cooperi",,"",,"native","unlisted",,"1978-03-19","","iNaturalist","",,"2016-02-07","Andy Lamb","PMLS","",,13,"confirmed","observed","",50097,"MOL"
"Aldisa sanguinea","(J.G. Cooper, 1863)","","blood-spot dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","sanguinea",,"",,"native","unlisted",,"2013-10-10","Andy Lamb","PMLS","",,"2023-05-28","","iNaturalist","",,5,"confirmed","observed","",50098,"MOL"
"Aldisa tara","Millen in Millen & Gosliner, 1985","","Tara's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","tara",,"",,"native","unlisted",,"1978-03-19","","iNaturalist","",,"2018-06-19","Andy Lamb","PMLS","",,4,"confirmed","observed","",50100,"MOL"
"Alia carinata","(Hinds, 1844)","","carinate dovesnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Alia","carinata",,"",,"native","unlisted",,"2017-05-26","","iNaturalist","",,"2017-05-26","","iNaturalist","",,1,"new 2017","observed","reported as Mitrella carinata",129933,"MOL"
"Alitta williami","Villalobos-Guerrero & Bakken, 2018","","giant piling sea-nymph worm","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Nereidiformia","","Nereididae","Nereidinae","","Alitta","williami",,"",,"native","unlisted",,"2017-04-17","","iNaturalist","",,"2023-05-27","","iNaturalist","",,5,"new 2017","observed","",1115984,"WOR"
"Amathia sp.","","","tubeworm fuzz","Animalia","Bryozoa","","","Gymnolaemata","","","Ctenostomatida","Vesicularina","Vesicularioidea","Vesiculariidae","","","Amathia","",,"",,"","",,"2006-06-23","Andy Lamb","PMLS","",,"2006-11-18","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",195986,"LOP"
"Ammodytes personatus","Girard, 1856","","Pacific sand lance","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Trachinoidei","","Ammodytidae","","","Ammodytes","personatus",,"",,"native","SNR",,"1993-08-16","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,20,"confirmed","observed","",201784,"FIS"
"Ampelisca hancocki","J.L. Barnard, 1954","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","hancocki",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-018",,"1961-06-22","","RBCM","976-01146-018",,1,"reported","unobserved","",295404,"ART"
"Ampelisca lobata","Holmes, 1908","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","lobata",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-017",,"1961-06-22","","RBCM","976-01146-017",,1,"reported","unobserved","",295407,"ART"
"Ampelisca unsocalae","J.L. Barnard, 1960","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","unsocalae",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-019",,"1961-06-22","","RBCM","976-01146-019",,1,"reported","unobserved","",1265117,"ART"
"Amphilectus digitatus","(Miklucho-Maclay, 1870)","","glove sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","","","Amphilectus","digitatus",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2008-11-12","Andy Lamb","PMLS","",,6,"confirmed","unobserved","",459874,"POR"
"Amphiodia periercta","H.L. Clark, 1911","","long-armed burrowing brittle star","Animalia","Echinodermata","Asterozoa","","Ophiuroidea","Myophiuroida","Ophintegrida","Amphilepidida","Gnathophiurina","Amphiuroidea","Amphiuridae","","","Amphiodia","periercta",,"",,"native","unlisted",,"1975-06-17","Philip Lambert","RBCM","975-00224-007",,"1975-06-17","Philip Lambert","RBCM","975-00224-007",,1,"reported","unobserved","",957349,"ECH"
"Amphisbetia greenei","(Murray, 1860)","","fibre-optic hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","","","Amphisbetia","greenei",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2008-11-13","Andy Lamb","PMLS","",,6,"confirmed","unobserved","",1353331,"CNI"
"Amphissa columbiana","Dall, 1916","","wrinkled amphissa","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Amphissa","columbiana",,"",,"native","unlisted",,"1981-05-31","Andy Lamb","PMLS","",,"2023-05-22","","iNaturalist","",,45,"confirmed","observed","",117643,"MOL"
"Amphissa versicolor","Dall, 1871","","variegated amphissa","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Amphissa","versicolor",,"",,"native","unlisted",,"2008-11-12","Andy Lamb","PMLS","",,"2011-04-23","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",129932,"MOL"
"Ampithoe lacertosa","Bate, 1858","","sea lettuce sea flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Corophioidea","Ampithoidae","","","Ampithoe","lacertosa",,"",,"native","unlisted",,"2009-02-14","Andy Lamb","PMLS","",,"2009-02-14","Andy Lamb","PMLS","",,1,"reported","unobserved","",260501,"ART"
"Anarrhichthys ocellatus","Ayres, 1855","","wolf-eel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Anarhichadidae","","","Anarrhichthys","ocellatus",,"",,"native","SNR",,"1994-02-26","Charlie Gibbs","PMLS","",,"2008-07-19","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",60635,"FIS"
"Anoplarchus purpurescens","Gill, 1861","","high cockscomb","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Stichaeidae","Xiphisterinae","","Anoplarchus","purpurescens",,"",,"native","SNR",,"1969-02-22","Andy Lamb","PMLS","",,"2023-06-04","","iNaturalist","",,16,"confirmed","observed","",67316,"FIS"
"Antho (Plocamia) karykina","(Laubenfels, 1927)","","bright red sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","Ophlitaspongiinae","","Antho","karykina",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2012-08-09","Andy Lamb","PMLS","",,3,"reported","unobserved","reported as Plocamia karykina",345142,"POR"
"Anthopleura artemisia","(Pickering in Dana, 1846)","","burrowing anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Anthopleura","artemisia",,"",,"native","unlisted",,"1996-09-29","Charlie Gibbs","PMLS","",,"2023-07-13","","iNaturalist","",,52,"confirmed","observed","",51658,"CNI"
"Anthopleura elegantissima","(Brandt, 1835)","","pink-tipped anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Anthopleura","elegantissima",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-08-17","","iNaturalist","",,89,"confirmed","observed","",52564,"CNI"
"Antiopella fusca","(O'Donoghue, 1924)","","white-and-orange-tipped nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Proctonotoidea","Janolidae","","","Antiopella","fusca",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2022-09-28","","iNaturalist","",,17,"confirmed","observed","reported as Janolus fuscus",886884,"MOL"
"Apata pricei","(MacFarland, 1966)","","Price's aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Apataidae","","","Apata","pricei",,"",,"native","unlisted",,"2013-05-17","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,11,"confirmed","observed","reported as Flabellina pricei",631469,"MOL"
"Aphrocallistes vastus","Schulze, 1886","","cloud sponge","Animalia","Porifera","","","Hexactinellida","Hexasterophora","","Sceptrulophora","","","Aphrocallistidae","","","Aphrocallistes","vastus",,"",,"native","unlisted",,"2007-10-23","","iNaturalist","",,"2017-06-24","","iNaturalist","",,176,"confirmed","observed","",424651,"POR"
"Aphrodita negligens","Moore, 1905","","sea mouse","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Aphroditiformia","","Aphroditidae","","","Aphrodita","negligens",,"",,"native","unlisted",,"1914-06-26","","RBCM","974-00265-001",,"1914-06-26","","RBCM","974-00265-001",,1,"reported","unobserved","",733687,"WOR"
"Aplidium californicum","(Ritter & Forsyth, 1917)","","California sea pork","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polyclinidae","","","Aplidium","californicum",,"",,"native","unlisted",,"1985-08-02","Andy Lamb","PMLS","",,"2023-06-17","","iNaturalist","",,6,"confirmed","observed","",131232,"TUN"
"Aplidium kottae","Brunetti, 2007","","red ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polyclinidae","","","Aplidium","kottae",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2017-08-22","Andy Lamb","PMLS","",,54,"confirmed","unobserved","",799283,"TUN"
"Aplysilla polyraphis","Laubenfels, 1930","","slippery purple sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","","","Aplysilla","polyraphis",,"",,"native","unlisted",,"2008-11-12","Andy Lamb","PMLS","",,"2009-10-10","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",213993,"POR"
"Aplysilla sp.","","","slippery rose sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","","","Aplysilla","",,"",,"","",,"1985-08-02","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,19,"confirmed","unobserved","undescribed species",63646,"POR"
"Apodichthys flavidus","Girard, 1854","","penpoint gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Pholidae","Apodichthyinae","","Apodichthys","flavidus",,"",,"native","SNR",,"1969-02-22","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,20,"confirmed","observed","",67408,"FIS"
"Apomatus geniculatus","(Moore & Bush, 1904)","","pearl-topped calcareous worm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Serpulidae","","","Apomatus","geniculatus",,"",,"native","unlisted",,"2007-10-14","Andy Lamb","PMLS","",,"2008-06-21","Andy Lamb","PMLS","",,3,"confirmed","unobserved","",939557,"WOR"
"Apostichopus californicus","(Stimpson, 1857)","","giant sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Synallactida","","","Stichopodidae","","","Apostichopus","californicus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-08-23","","iNaturalist","",,274,"confirmed","observed","",202640,"ECH"
"Arctonoe fragilis","(Baird, 1863)","","fragile ruffled scaleworm","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Aphroditiformia","","Polynoidae","Arctonoinae","","Arctonoe","fragilis",,"",,"native","unlisted",,"1975-06-18","T. Kessler","RBCM","975-00227-001",,"2022-03-01","","iNaturalist","",,15,"confirmed","observed","",69914,"WOR"
"Arctonoe pulchra","(Johnson, 1897)","","red commensal scaleworm","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Aphroditiformia","","Polynoidae","Arctonoinae","","Arctonoe","pulchra",,"",,"native","unlisted",,"1975-06-18","T. Kessler","RBCM","975-00227-003",,"2019-05-04","","iNaturalist","",,16,"confirmed","observed","",465156,"WOR"
"Arctonoe vittata","(Grube, 1855)","","red-banded commensal scaleworm","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Aphroditiformia","","Polynoidae","Arctonoinae","","Arctonoe","vittata",,"",,"native","unlisted",,"1975-06-18","T. Kessler","RBCM","975-00227-002",,"2009-04-13","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",122163,"WOR"
"Argulus pugettensis","Dana, 1853","","surfperch fish louse","Animalia","Arthropoda","Crustacea","Oligostraca","Ichthyostraca","Branchiura","","Arguloida","","Arguloidea","Argulidae","","","Argulus","pugettensis",,"",,"native","unlisted",,"2007-09-29","Andy Lamb","PMLS","",,"2012-08-09","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",873865,"ART"
"Armina californica","(J.G. Cooper, 1863)","","striped nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Arminoidea","Arminidae","","","Armina","californica",,"",,"native","unlisted",,"1975-06-17","Philip Lambert","RBCM","975-00224-003",,"2023-09-09","","iNaturalist","",,19,"confirmed","observed","",47499,"MOL"
"Artedius fenestralis","Jordan & Gilbert, 1883","","padded sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Artedius","fenestralis",,"",,"native","SNR",,"1968-08-02","Andy Lamb","PMLS","",,"2022-07-31","","iNaturalist","",,9,"confirmed","observed","",117527,"FIS"
"Artedius harringtoni","(Starks, 1896)","","scalyhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Artedius","harringtoni",,"",,"native","SNR",,"1969-02-21","Andy Lamb","PMLS","",,"2023-07-16","","iNaturalist","",,157,"confirmed","observed","",117528,"FIS"
"Artedius lateralis","(Girard, 1854)","","smoothhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Artedius","lateralis",,"",,"native","SNR",,"1995-02-23","Charlie Gibbs","PMLS","",,"2023-06-24","","iNaturalist","",,4,"confirmed","observed","",117529,"FIS"
"Ascidia columbiana","(Huntsman, 1912)","","sea blisters","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Ascidiidae","","","Ascidia","columbiana",,"",,"native","unlisted",,"2008-04-27","Andy Lamb","PMLS","",,"2011-11-18","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",428617,"TUN"
"Ascidia paratropa","(Huntsman, 1912)","","glassy tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Ascidiidae","","","Ascidia","paratropa",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-07-09","","iNaturalist","",,44,"confirmed","observed","",415129,"TUN"
"Asemichthys taylori","Gilbert, 1912","","spinynose sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Radulininae","","Asemichthys","taylori",,"",,"native","SNR",,"1973-09-20","Andy Lamb","PMLS","",,"2022-07-18","","iNaturalist","",,17,"confirmed","observed","",172639,"FIS"
"Atalodoris jannae","(Millen, 1987)","","Janna's adalaria","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Atalodoris","jannae",,"",,"native","unlisted",,"2009-11-15","","iNaturalist","",,"2018-06-24","Karin Fletcher","PMLS","",,4,"confirmed","observed","reported as Knoutsodonta jannae",1364199,"MOL"
"Aulorhynchus flavidus","Gill, 1861","","tubesnout","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Gasterosteoidei","","Aulorhynchidae","","","Aulorhynchus","flavidus",,"",,"native","SNR",,"1994-02-27","Charlie Gibbs","PMLS","",,"2023-07-16","","iNaturalist","",,26,"confirmed","observed","",117568,"FIS"
"Aurelia labiata","Chamisso & Eysenhardt, 1821","","moon jelly","Animalia","Cnidaria","","","Scyphozoa","Discomedusae","","Semaeostomeae","","","Ulmaridae","Aureliinae","","Aurelia","labiata",,"",,"native","unlisted",,"1996-09-28","Charlie Gibbs","PMLS","",,"2023-06-04","","iNaturalist","",,47,"confirmed","observed","",130235,"CNI"
"Axinopsida serricata","(Carpenter, 1864)","","lenticular axinopsid","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Lucinida","","Thyasiroidea","Thyasiridae","","","Axinopsida","serricata",,"",,"native","unlisted",,"1959-12-11","Dan Quayle","RBCM","989-00278-014",,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03315",,2,"reported","unobserved","",977317,"MOL"
"Balaenoptera acutorostrata","Lacépède, 1804","","northern minke whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Balaenoptera","acutorostrata",,"",,"native","S4N (2006)",,"2004-04-09","","BCCSN","31161",,"2016-11-06","","BCCSN","109549",,2,"confirmed","unobserved","",41550,"MAM"
"Balaenoptera physalus","(Linnaeus, 1758)","","fin whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Balaenoptera","physalus",,"",,"native","S2N (2006)",,"2017-07-04","","BCCSN","123168",,"2017-07-04","","BCCSN","123168",,1,"new 2017","unobserved","",41562,"MAM"
"Balanophyllia (Balanophyllia) elegans","Verrill, 1864","","orange cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","","","Dendrophylliidae","","","Balanophyllia","elegans",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-08-09","","iNaturalist","",,233,"reported","observed","",51799,"CNI"
"Balanus crenatus","Bruguière, 1789","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","crenatus",,"",,"native","unlisted",,"2019-01-25","","iNaturalist","",,"2023-06-02","","iNaturalist","",,3,"new 2019","observed","",117672,"ART"
"Balanus glandula","Darwin, 1854","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","glandula",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-08-17","","iNaturalist","",,135,"confirmed","observed","",81610,"ART"
