Scientific,Date,Zone,Zone_Description,Latitude,Longitude,Source,Curator_Notes,Id,Type,Site_Serie
Corvus corax,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Empidonax difficilis,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Fomes fomentarius,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Galium aparine,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Galium triflorum,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Ganoderma applanatum,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Gaultheria shallon,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Geastrum quadrifidum,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Geranium molle,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Haemorhous mexicanus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Hylocomiadelphus triquetrus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Hylocomium splendens,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Inocybe sp.,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Junco hyemalis,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Laccaria laccata,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Leucolepis acanthoneura,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Lichenomphalia umbellifera,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Loxia curvirostra,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Lysimachia latifolia,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Matricaria sp.,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Mycelis muralis,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Neogale vison,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Entoloma sericeum,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Odocoileus hemionus columbianus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Osmorhiza berteroi,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Pipilo maculatus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Piranga ludoviciana,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Pleurotus ostreatus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Pluteus cervinus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Poecile rufescens,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Polychaeta,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Polystichum munitum,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Poriella subacida,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Pseudotsuga menziesii,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Ranunculus repens,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Regulus satrapa,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Rhodofomes cajanderi,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Selasphorus rufus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Setophaga coronata,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Setophaga townsendi,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Sitta canadensis,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Spinus pinus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Spizella passerina,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Stellaria media,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Trichaptum abietinum,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Tricholoma sp.,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Trifolium dubium,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Trifolium repens,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Troglodytes aedon,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Turdus migratorius,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Vireo cassinii,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Vireo gilvus,2010-05-22,"6",Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,6a,Douglas-fir - salal (grazed),"01, 02"
Amelanchier alnifolia,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Arbutus menziesii,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Bellis perennis,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Berberis nervosa,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Catharus ustulatus,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Clinopodium douglasii,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Contopus cooperi,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Corallorhiza maculata,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Dicranum fuscescens,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Fragaria vesca,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Galium aparine,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Galium triflorum,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Gaultheria shallon,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Goodyera oblongifolia,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Holodiscus discolor,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Hylocomiadelphus triquetrus,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Hylocomium splendens,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Kindbergia oregana,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Leucolepis acanthoneura,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Lonicera ciliosa,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Lysimachia latifolia,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Montia parvifolia,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Mycelis muralis,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Patagioenas fasciata,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Peltigera neopolydactyla,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Plagiomnium insigne,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Platanthera sp.,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Polypodium glycyrrhiza,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Polystichum munitum,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Polytrichum juniperinum,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Pseudotsuga menziesii,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Ranunculus occidentalis,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Ranunculus uncinatus,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Rhizomnium glabrescens,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Rosa gymnocarpa,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Rubus parviflorus,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Rubus ursinus,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Salix sitchensis,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Sedum spathulifolium,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Sitta canadensis,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Sphyrapicus ruber,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Taxus brevifolia,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Tellima grandiflora,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Thuja plicata,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Usnea sp.,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Vaccinium ovatum,2010-05-22,"4",Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"4",Douglas-fir - sword fern,"04, 01"
Arbutus menziesii,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Certhia americana,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Corvus corax,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Cytisus scoparius,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Equisetum arvense,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Haemorhous mexicanus,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Hypogymnia inactiva,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Lathyrus japonicus,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Melospiza melodia,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Pseudotsuga menziesii,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Quercus garryana,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Rosa nutkana,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Selasphorus rufus,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Turdus migratorius,2010-05-22,"10",baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,,"10",marine interidal,
Amphipoda,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Anthopleura elegantissima,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Apodichthys flavidus,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Aurelia labiata,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Balanus glandula,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Caloplaca,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Cancer magister,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Cancer productus,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Cepphus columba,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Chondracanthus exasperatus,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Citharichthys stigmaeus,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Clinocardium nuttalli,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Corvus brachyrhynchos,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Crangon sp.,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Cucumaria miniata,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Dermasterias imbricata,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Diodora aspera,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Enophrys bison,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Fucus distichus,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Hemigrapsus nudus,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Heptacarpus sp.,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
Larus glaucescens,2010-05-22,"12",intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey,"12",,
